Level1,Region,County,Size,Square_Miles
North Carolina Counties,,,2175766,9340
North Carolina Counties,Moutains,,87796,2058
North Carolina Counties,Piedmont,,1885890,4237
North Carolina Counties,Coastal Plains,,202080,3045
North Carolina Counties,Moutains,Cherokee,27194,497
North Carolina Counties,Moutains,Clay,10563,221
North Carolina Counties,Moutains,Graham,8802,302
North Carolina Counties,Moutains,Swain,14043,541
North Carolina Counties,Moutains,Macon,27194,497
North Carolina Counties,Piedmont,Randolph,142358,790
North Carolina Counties,Piedmont,Montgomery,27667,502
North Carolina Counties,Piedmont,Richmond,46611,480
North Carolina Counties,Piedmont,Guilford,495279,658
North Carolina Counties,Piedmont,Alamance,153291,435
North Carolina Counties,Piedmont,Wake,929780,857
North Carolina Counties,Piedmont,Rowan,90904,515
North Carolina Counties,Coastal Plains,Jones,10020,473
North Carolina Counties,Coastal Plains,Craven,104786,774
North Carolina Counties,Coastal Plains,Hyde,5822,1424
North Carolina Counties,Coastal Plains,Wilson,81452,374
